,Review,Date,Opinion,Year
25,"Valda Energy generate my Electricity bill under my company without any meter , my property has 1 Electricity meter currently supplied by British Gas Lite.I have paid my full Gas bill , during my last conversation on 26/10/2022 with Mr Mark Caeaved told me Valda Energy will send someone to do the necessary check and they came but there is no meter which Valda Energy generate the bill every month.Mr Mark Caeaved told me after Valda Energy investigation he will take necessary action for this wrong Electricity bill cancellation , till now every month Valda Energy generate the Electricity bill without meter. now Valda Energy passed my details debt collection agency to collect the false Electricity bill to pay",2022-12-22,NEGATIVE,2022
26,"I hate leaving 1 star reviews. But I must!I have just taken over a property with a prepayment smart meter with 90p left on the meter.The property has a smart meter prepayment meter in. Its prepayment, not credit, so I have offered to top it up.They have refused to let me add credit to the meter. My property has 90p left on the meter with a standing charge is about 30p a day so 3 days left without using electric before cut off, they have said they are closed until next year, and then an extra 3-5 days to do a change of tenancy with a possible completion date of 8th January.How are we meant to have power. You are an utter disgrace.I cant have power, I cant top up a pre-payment smart meter, nothing, you have left me like this for no reason.",2022-12-23,NEGATIVE,2022
27,You arranged for a smart meter to be installed this morning between 8 and 10  we arrived early to the shop at 7.30 in order to not miss you!However you failed to contact us and say you were not coming and we have had to rearrange in new year.There was no apology!!Customer service very poor as usual!!!Apparently you left a voice mail !!!Not as far as I'm concerned,2022-12-01,NEGATIVE,2022
28,A rip off company using dodgy broker who mislead the customer. I was not aware we were dealing with a broker when discussing this service. They are telling me Sudbury Dry Iining   signed into a contract for 2 years at highly expensive rates. A contract that they say was verbally agreed over the phone. We as a company never agree to contracts for more than 1 year. These are a rip off company please be aware of their scams. I await a call from them to discuss this supposed contract. I will contract trading standard asap if they fail to contact me on 01895632806 to discuss immediately,2022-12-08,NEGATIVE,2022
29,After signing up with Valda Energy within 5 days of this they took £1124.48 out of my account without my permission. Given what i have used so far and the cost per Kwh my monthly usage will be around £600.00. Where did the £1124.48 come from and what gives you the right to deduct this from my account with no request or bill to show usage. Extremely poor service. If all I'm going to get back is we are sorry to hear this and please call customer services don't bother i will be reporting you.,2022-12-02,NEGATIVE,2022
30,"I have been with valda for my existing business and it had been great, I took on a new business and the switch over was good. But i had large estimated usage with £200 - £300 coming out regular. I called and was told this was estimated and if i keep sending in readings it would sort itself ... I did that but just before Christmas you took £4000 this made me over drawn and coused me grief with other suppliers You have now sorted this i believe and refunded but this has still cost me charges and stress so very un impressed . I was told later on a call that my readings would not have been accepted so i asked why no one had called me but they say its my responsibility as per agreement ! poor service .  I am hoping it will now all be ok but worry about others switching to yourselves. I was lucky i could borrow at this time otherwise my business could have been shut down before it had a chance. All it would have taken was some one on my first call to know what might happen and asked for a photo of meeting as and when required. on the upside your prices are very good.",2022-12-27,NEGATIVE,2022
31,"The same problem happens every month you charge me a massive estimate based on usage for last year, we are not the same company occupying the building since August as you can see from the bill you hav e to keep making refunds now a DD was taken for a massive over estimate on your part.",2022-11-30,NEGATIVE,2022
33,A Great help! Thank you,2023-01-20,POSITIVE,2023
34,"Customer service is a joke, they tell lies and over charge.",2022-12-16,NEGATIVE,2022
35,The very pleasant lady was helpful and remained claim despite the situation - we received a demand (five times) for £ 788.00+ when the outstanding amount is £ 0.84.She corrected the wrong and put things right - I am however now looking for £ 40.00 compensation for the time I have spent over 2 calls to you.,2022-11-17,NEGATIVE,2022
36,Amazing service very helpful very understanding and very considerate Absolutely chuffed Thanks guys,2023-01-03,POSITIVE,2023
37,"WE MOVED TO VALDA ACROSS MULTIPLE VENUES IN AUGUST 2021, THE TRANSITION WAS SEAMLESS & MANAGED EXTREMEY WELL BY HELPFUL KNOWLEDGABLE STAFF, THE CUSTOMER SERVE TEAM ARE A PLEASURE TO DEAL WITH, SWIFT RESPONSES IN THE EVENT OF ANY QUERY WHICH IS REFRESHING, THIS IS FURTHER COMPLIMENTED BY A VERY USER-FRIENDLY WEB PLATFORM, TOM & LIZZ ARE WORTHY OF NOTE IN TERMS OF CUSTOMER SERVICE LEVELS, AND IN CLOSING VERY COMPETETIVE RATES WHICH IS OF PARAMOUT IMPORTANCE IN THESE TROUBLED ECONOMIC TIMES",2022-11-10,POSITIVE,2022
38,Currently in contract with another supplier and  Valda have taken £103 from my account without permission or even a meter readingI’m unable to leave my present suppliers because of contract valda should have checked how long was left on the present contract Now the are playing silly buggers and taking money  I’m now paying twice for my energy,2022-11-02,NEGATIVE,2022
39,I’m so satisfied with this energy provider as I’ve got a little shop so I’m using electric only. The prices very low also very nice customer service. Last time spoken with Becky. Very good customer support skills and she answered all my questions. Very good explanation of my bills and invoices. Highly recommend company.Thanks Becky for your assistance.,2022-11-02,POSITIVE,2022
40,Contacted Valda Energy regarding a change of tenancy. Spoke to Priyanka who advised me to complete the online Moving Premises Form and submit. I have done as advised and hope that the matter is expedited promptly and my credit balance is refunded in a timely manner.Please note I have given the 5 stars to Priyanka for her excellent customer service and pleasant manner during the call.,2022-10-31,POSITIVE,2022
41,"I have just looked at the invoice dated 01-11-22 00391971 and in is 59 Kw hrs higher than the reading taken by myself on the 02-11-22.  DO NOT MAKE A CONTRACT WITH THIS COMPANY THEY ARE CROOKS AND ALWAYS OVERCHARGING.  Further a month ago they stated they would put me on a single tariff no problem within a week max, this still has NOT BEEN DONE.",2022-11-02,NEGATIVE,2022
42,"I come from South Africa and I can tell you first hand what incompetence and corruption looks like. That was until I was referred to Valda Energy. Their invoicing, customer service, incompetence, dishonesty is next level. DO NOT SIGN UP WITH THEM, no matter how good their deal is. I have signed with them for 2 years and am unable to get out of it. I am going to lose tenants over this. Don't do it.",2022-10-25,NEGATIVE,2022
43,I have had some teething issues with a new buisiness and the customer service has been so supportive and helpful. I would like to mention both Emily and Becky as they were very patient and understanding with my situation and cleared up matters very quickly.,2022-11-15,POSITIVE,2022
44,"Abbie the lady I have been dealing with has been extremely helpful. we had problems switching over due to objections from the previous supplier, but Abbie kept me informed on what was happening at all times, was quick with her responses and definitely a credit to your team.",2022-11-11,POSITIVE,2022
46,This company was instantly double my previous electric company they make brokers co call lie an miss lead people into terrible contracts as their good they then told me after my first bill that they would look into it as it did sound like too much in comparison to previous bills with previous company an to follow up on this I called again they said it was correct I said then I'd like to cancel they said I can't there's no cool off period and the contract is for 3years which was a shock as that was the first time hearing this I'm locked into a 3 year contract with an energy company that charges double from the get go this isn't legal practice at all there needs to be reimbursements made,2022-11-01,NEGATIVE,2022
47,Valda quoted me 86p kW and 81p daily rate. As I got a quote 25% cheaper they immediately increased my rate to £3 per day and £1.15 kW. This is an empty unused 800 sqft shop with occasional light usage and for 3 weeks they charged me £165. They said they could reduce and backdate the charges if I entered contract with them. Effectively blackmail! Steer away as they are truly rogues!,2022-10-07,NEGATIVE,2022
48,Excellent personal customer service experience. The most competative charges for my new business set-up and such a simple user friendly mobile app.,2022-05-30,POSITIVE,2022
49,"Yet again they have overcharged me by a factor of 10 and taken the money from my account.Ophs, sorry says the email but because of a problem with the smart meter we made a mistake but we will repay the money within 10 days.  Have they?  There will be snowballs in hell before they willingly pay up.  The next stop will be The Small Claims Court.",2022-10-24,NEGATIVE,2022
50,"Before we sold the business 4 months ago I found the customer service with Valda appalling. I informed them that the business was being sold and the contact details of the new owners. I have since had invoices and correspondence coming to me and have now informed them a further 3 times that they are contacting the incorrect person and the incorrect correspondence address. However, I would not gamble on not hearing from them again. If you are looking for a gas or electricity supplier that leaves you hanging on the phone for hours, does not respond to queries, takes no notice of what you have to say and wastes your time even when you are no longer their contact, go with Valda.",2022-11-22,NEGATIVE,2022
51,"Repeatedly took payments out of my bank account after my account with them was closed and I had been in credit yet nearly £2,000 taken even after multiple phone calls and being told a refund was being issued. One hour later more money taken from my account. Avoid this company at all costs.",2022-11-01,NEGATIVE,2022
52,Absolutely awful con artists. Conned & rushed me into a contract with them.preying on new business to make you panic.  They lied and made me panic in order to sign up. Will be contacting ombudsman & ofgem. Horrible company DO NOT USE. Completely taken the excitement of starting my own business,2022-10-20,NEGATIVE,2022
53,"Since I have been with valda energy it been so stressful they over charge me even when I have given an Apdate reading  when I call to investigate my bill, nothing they say makes any sense They admit that there’s a mistake but never correct it and keep sending disconnected letters and I don’t owe them anything. They charge a month in advance so they invoice you 2 months bill which is always huge amount I worked out my bill with one of their customer service agent today and my bill was £560  a month but invoiced me for £2660 Be careful with them , they will course you too much stress you don’t need!!",2022-10-10,NEGATIVE,2022
54,"After being scammed by Redwood Utilities Ltd into a 3 years contract with Valda, finally sorted the switchover. Needed 3 phone calls, and got the result. Valda customer service was spot on. Just waiting for the closing bill.",2022-11-17,NEGATIVE,2022
55,Signed up with this company last week on Friday . Received a “welcome pack” by email for my new business. I have a smart meter installed already. I have a bill for £767.03 ! My smart meter says I’ve used 96p.!I have been charged £500! Third party introduction costs which wasn’t mentioned when I signed up! I feel completely scammed and getting fobbed off with customer services. I’ve asked for a call back from a manager which hasn’t happened. This is appalling and not a good way to start a new business. I’m in debt before I’ve even started out. Avoid at all costs !!! SCAM,2022-10-28,NEGATIVE,2022
56,priyanka excellent service 👏 thanks from star fisheries,2023-01-12,POSITIVE,2023
57,"I had a recent conversation with Emily,with an issue I had concerning Calculating my gas reads.She went out of her way to help me sort it out.When I left the conversation I was so happy with the result.Thank you Emily",2022-11-18,POSITIVE,2022
58,"Tom was excellent in explaining our options in the present energy crisis and talked me through the process. We are currently a very satisfied customer which made this much easier. Although much more costly, we look forward to a further 24 months with Valda. Thank you Tom.",2022-10-28,POSITIVE,2022
59,"Dealt with Tanya Govorusa who was really, really helpful and solved an issue that had been going on for months with no fuss.Very professional and replied when she said she would unlike some of the other agents.Thanks Tanya",2022-11-14,POSITIVE,2022
60,I have recently moved to Valda with two meters one for house and one for business.  I was lucky to have contact with Abbie Stayt who really went out of her way  to sort out all my queries.  It is really unusual to have the sort of customer service Abbie produces.  She really is a gem for you.,2022-10-17,POSITIVE,2022
61,"Absolutely appalling customer service, especially a man on the credit team named Mark, he was extremely rude. How companies like this can have no remorse towards small businesses, charging them upwards of 20% of daily revenue solely for their electricity bill. I am now scared my new business will fail due to the costs of using electricity.",2022-10-06,NEGATIVE,2022
62,"A very large invoice has been sorted by a lovely person in customer service who was brilliant and so reassuring.This would have been a 5 star review if it was not for the waiting time to speak to someone.  I think, I was on hold for nearly 50 minuets before I had spoken to someone. Thank you again.",2022-10-10,POSITIVE,2022
63,"Terrible company wouldn’t recommend at all! Absolutely disgusting company. Robbing you blind I paid just under £1000 for electric in May 2022 and they wouldn’t investigate, I had to do that at my own expense! Lock you in a 3 yr contract with out giving you a choice, absolutely conning unhelpful company!",2022-10-03,NEGATIVE,2022
64,"New customer  have been charged twice for gas I have not usedI have chased this up over snd over, supplying e mails with meter readings.I have used web chat and now I only use telephoneI have been given false promises that it would be resolvedI am still waiting for resolution",2022-10-14,NEGATIVE,2022
65,"Really helpful, just they made a mistake with my refund and it was delayed but overall very helpful and working fast! Specially Priyanka Raj was really helpful!",2022-12-01,POSITIVE,2022
66,"After placing a poor review on Trustpilot, Valda Energy reacted quickly to resolve an ongoing issue with our pricing. I am now more than happy to upgrade the initial rating I submitted.",2022-11-20,POSITIVE,2022
67,"The Custpmer Services were excellent in sorting out my erroneous bill for £5800. The Meter was not my property and was relevant to somewhere else, it took a lot of effort and stress to sort it out, but Liz and her colleague were brilliant, I have to give a low mark because of the stressful mistake and mis billing.",2022-09-12,NEGATIVE,2022
68,The lady who helped me on the phone was absolutely lovely (I’d like to say her name was Paige but I’m not 100%). She explained everything so well and helped us make sure our bill was a true reflection of usage. This is the kind of service you need to retain customers. Hope it continues!,2022-09-23,POSITIVE,2022
69,Spoke to customerservice agent Priyanka. She was very helpful and patient. Excellent service. Would definitely recommend them.,2022-12-16,POSITIVE,2022
70,I  have only been a customer for 6months in that short time I have found them to be useless. What should be the simple process of obtaining a bill is a nightmare. They seem totally incapable of  making your invoices available on line.  Avoid this firm if you can,2022-10-04,NEGATIVE,2022
71,The operator was extremely knowledgeable and kept me informed of what she was doing whilst dealing with my query. She was polite professional and courteous throughout the conversation. A pleasure to deal with.,2022-11-03,POSITIVE,2022
72,"Really nice people on the phone and reassuring. But never deliver to what’s promised. I’ve lost count how many times I’ve had to call them up trying to rectify issues. The cherry on top was they took out nearly £1400 for 7 weeks of electricity after them promising they sort out meter reads. Quick to take money out, but long to get refund. I’ve called my bank to make sure this doesn’t happen every month by cancelling my DD!",2022-08-19,NEGATIVE,2022
73,"amazing company, professional and polite and nothing is too much trouble and it’s the same service regardless of whoever i speak to. they are very patient and accommodating and work very closely with their customers. i wish they supplied residential properties too!",2022-09-28,POSITIVE,2022
74,"I was advised by a switching company that changing my supplier would save me money on my electricity bill but from day one not only have I not saved any money but my bills have doubled and this is without the rise in unit costs. I appreciate this is not Valda's fault but was the information correct at the time I switched. Without this issue I would have given 5* as Valda themselves have done nothing wrong and their customer service is exceptional, all aspects of dealing with the company so far have been faultless, from switching to billing, navigating their web site and app is easy and user friendly. Give them a go but do check the tariffs carefully.",2022-10-20,POSITIVE,2022
75,"Hi there, I recently phoned the customer services and Abbie Stayt dealt with my enquiry. She was very helpful , friendly and she had a great communication skills. Thank you Abbie for your help and hope you have a great day.Kind RegardsHooman Maroof",2022-10-04,POSITIVE,2022
76,"Closed account in April and had a credit. STILL waiting on my refund. Correspondence is horrendous, they take over a week to respond to you. Promised a refund in August but still nothing received. Can’t find company on Financial Ombudsman’s website to report Valda.Awful company, stay away!",2022-09-11,NEGATIVE,2022
77,Up and down I got charged a whopping 18k had to phone them to sort it then I had this problem with some1 called Adam very very rude person he was demanding I pay 1 whole month upfront ?? I don't think so 🤔  finally I got the bill sorted and I am giving reads every week ....let's see how this goes,2022-08-04,NEGATIVE,2022
78,Answered my question  politely and explained very clearly,2023-01-09,POSITIVE,2023
79,"All my dealings with Valda have been positive despite problems. Every person I have spoken to at Valda has done their best to help me with my queries. If my final query had been resolved speedily, I would have given 5 stars but as I’m still waiting for resolution, I only gave 4",2022-09-13,POSITIVE,2022
80,"Incorrect invoice £6000 over real invoice,gave me a heart attack took 4 long phone calls to get to the end result",2022-12-19,NEGATIVE,2022
81,I felt well looked after and all my needs met,2023-01-11,POSITIVE,2023
82,Tom resolved all my issues and talked me through how to respond by email,2023-01-03,POSITIVE,2023
83,"This company gets its invoices wrong every month, over charge the amount of units used, give zero time to submit meter readings. take forever to process refunds. the worst utility company i have had to deal with.",2022-10-24,NEGATIVE,2022
84,In the few times I've spoken and dealt with Valda they have been brilliant. Excellent customer service and actually listen and take the time to help you.Keep it up!,2022-11-22,POSITIVE,2022
85,Unbelievable!!! Conned my partner who doesn't speak very good English after telling this company to wait until I could speak them. They went ahead and set the account up anyway. After 1 week tried taking over £530 out of her account!!! We haven't even moved into the shop yet!! Avoid these scumat all costs!!!,2022-08-17,NEGATIVE,2022
86,"We are a signage company and had a few issues with our monthly usage. I went on chat line with Heidi, who was extremely helpful and is going to arrange for our metre to be checked for efficiency. She was polite and courteous and gave us some helpful ideas to reduce our usage.",2022-09-07,POSITIVE,2022
87,"Been a customer for Just over a year. needed to phone customer service today and they called me back, lady was very helpful. Thanks Sam",2022-12-08,POSITIVE,2022
88,"Only just joined this company 3 months ago , bills don't seem to be accurate enough,  They keep estimating my readings even though I have emailed them proof,  also done updates on there app!! Each month , electricity meter is smart but my gas is a standard meter I did register my readings but it says estimated on my bills ?⚠️ update ⚠️After a long phone call all was resolved by Tanya she was extremely helpful,  and instead of them billing me a month in advance they now bill me each month what we use hurray !!... thankyou touch wood we will now have accurate bills 😊",2022-09-08,NEGATIVE,2022
89,"There are 2 issuesThe length of the call and the underlying problem of getting my energy bill incorrect.The lady who I talked was very pleasant and helpful, the process just took too long.",2022-11-04,NEGATIVE,2022
90,"I closed my account with these back in May 2022 they said they took me off the system yet im still getting bills I lost business trying contact them find out why they keep charging me, they keep saying Im failing the security checks. I never deal these again. call centre waste of space",2022-08-24,NEGATIVE,2022
91,"Excellent!  Heidi knew the answers to my queries, she was fast and responsive.  Answering in simple terms.  It was a pleasure 'chatting' to her.Really 1st rate customer service.  Well done Heidi",2022-11-01,POSITIVE,2022
92,I call about my bill explained. I am satisfied. That’s why I give.,2023-01-04,POSITIVE,2023
93,Emily was so helpful and lovely to me over the phone and was very understanding and supportive of a very delicate matter. Outstanding from her and 5 star customer service,2022-11-15,POSITIVE,2022
94,Emily in customer services was excellent in the advice she gave me and dealing with my concerns.I am very grateful to her. Thank you,2022-12-06,POSITIVE,2022
95,Spoke to Priyanka today.Regarding meter readings. Very helpful and adjusted the invoice as requested. Brilliant and thank you.RegardsGraham,2022-11-29,POSITIVE,2022
96,"I read some of the reviews on valda, but i have to say their customer service is amazing. I am amazon standard amazing. I had a issue where someone i dont know switched my energy provider, yes i had large estimated bills, yes there were meter issues, but their customer service really did everything to sort it out. In particular Jamie-lee, she patiently listened to all my queries, was very empathetic and went over and above what i expected and resolved everything. She provided the best customer service i have ever experienced from an energy company. She even sent me a summary email of what we spoke about and communicated regularly to resolve the issues. Usually such companies have robotic customer service, and you have to constantly chase and spend hours on the phone. Not here.  I am now going to move my other energy contracts to Valda as they expire.",2022-11-09,POSITIVE,2022
97,"Very good customer service  specially Priyanka was so amazing. Very polite,kind and very helpful.  Thanks again.Valda Energy cheap and best Energy provider.  Highly recommend .",2022-11-01,POSITIVE,2022
98,"Paygie, was very helpful, professional and patient on the phone.Explained everthing clearly and I was impressed.At a time when the cost of living crisis is taking hold, it is refreshing that not every bill is going up!",2022-09-15,POSITIVE,2022
99,They are not genuine people. ScamI don’t want to give even one star.Very poor customer service. I had a bill around £947. I talked with a customer service and had a payment arrangement three month ago. They started to take my money from my bank as well. After that I’m keep receiving letter from them for disconnection. When I call them they said no arrangements setup there and there going to investigate about that. I’m waiting More than two month now. But every month they are keep taking my money. Again and again I’m getting a message for disconnection. When I call them if I want 45mins also I couldn’t reach the customer service.Very poor service and the assistant. They are not properly teach anything to their staff. They are money diggers. Horrible company ever. I’m enough with them and going to switch them soon.Please don’t believe there promises.,2022-11-04,NEGATIVE,2022
100,"It took customer service a little while to call back from my position in the queue, but when they did they were really helpful and enjoyable to talk to … humans interested in other humans…. Not just doing a job.",2022-09-08,POSITIVE,2022
101,Dreadful I have had so much stress after changing my business energy to this company in JuneIn 3 months I have had to ring at least twice a week sometimes being on the phone 2 to 3 hoursThey have taken unauthorised payments which they won't refund they have taken money out of wrong bank accounts because there system can only cope with 1 email address per businessIf you make a payment by debit card they store the details even if not authorised and then take money without noticeThey want 30days worth of credit on what they think you might use I have survived covid but will be lucky if I survive dealing with valdaThey are a law unto themselvesI would give them a minus rating if I couldBE CAREFUL,2022-09-05,NEGATIVE,2022
102,"They walk the thin line legally , robbing people ! I had a tenant leave me because valda kept incresing her costs until she could not trafe any longer. The meter was transferred over to me whilst on holiday . Upon returning Valda called me and said they were charging me £3 a day and £1.15 kw/h !! But if I signed up woth them they would back date the new rate to when the tenant went out . If not I would have to pay the outstanding bill , sounds a bit like blackmail to me ! Upon telling them I would not be staying with them they said I would be getting a big bill then . A week later and estimated bill for 1.5k arrives , for an empty unit *lol* . They are quite simply crooks , do not go near these guys . Rude, high pressure sales with threats . I pity any old person who cannot stand up for themselves and get ripped off by these people .",2022-10-17,NEGATIVE,2022
103,Do not go for this company all they do harass you they keep asking you for money the freight in you with phone calls The freight you disconnect your electric this the worst company out there do not go for this company,2022-08-06,NEGATIVE,2022
104,Really helpful  and guided me through the best options  availible Olivia  gave great advice and communication  was excellent Thanks really good service,2022-10-28,POSITIVE,2022
105,Great person very polite and very helpful *****,2023-01-06,POSITIVE,2023
106,Scammed by a caller saying valda would be my best option. Stating my current supplier had me on an emergency plan and they could save me loads of money . Basically promised my bill would be halved . As soon as I transfered rate went through the roof and they kept.tak9ng money from account . I've managed to stop that by asking them.to rove my card details and I'll top up as I go along . Pretty sure they are charging way over the government's maximum price!!! Will be reporting to omnibus and other complaint sectors . Such a shame we live in a world where they would happily scam small struggling business in a cost of living crisis. As soon as I can I am getting as far away from them as I can . I doubt they will be around much longer once everyone is released from contracts. The staff on the phone a really polite though so I have to give credit to them as there only doing there job and I imaging they get alot of angry customers daily,2022-11-04,NEGATIVE,2022
107,Spoke to a lady Tammy Who was very unhelpful and after over 30 days still can up load my meter reading… I’ve give reading to Numerous of colleagues but update me with my Appropriate charges,2022-08-31,NEGATIVE,2022
